pair,covisibility,fundamental_matrix
69759293_4547275305-42578175_457568876,0.835,-3.92728669e-02 1.05733544e+00 -3.47589998e+02 -1.28349146e+00 5.95426878e-02 2.32583539e+03 5.19682753e+02 -1.95586518e+03 -1.75333988e+05
69759293_4547275305-49809790_3475639998,0.864,-1.39811866e-02 -8.64493852e-02 -2.95755161e+02 5.27402645e-02 6.98636913e-03 -9.24294223e+02 3.30483438e+02 9.46332205e+02 -2.23575624e+04
69759293_4547275305-63287152_2719505336,0.881,-2.04599027e-01 4.34117988e-01 7.78309445e+02 -6.59340042e-01 5.48399125e-02 1.92180687e+03 -2.77008469e+02 -2.02594841e+03 -8.64413013e+04
64602886_907577570-25930528_6781762,0.851,1.63754488e-02 4.29123878e-01 -8.02177268e+02 -3.85667103e-01 7.00302404e-03 1.35353588e+02 7.92531266e+02 -1.77268312e+02 2.39355559e+04
64223960_5316591967-64212638_4064879957,0.847,-4.83702631e-02 1.55767715e+00 -1.27674237e+03 -1.85866307e+00 1.13211207e-01 -1.89148268e+03 1.43092664e+03 1.61767374e+03 1.10165417e+05
64223960_5316591967-05907640_5576489463,0.811,4.11585526e-02 1.23882089e+00 -5.61496753e+02 -1.64999443e+00 -2.18676172e-01 -1.84107630e+03 7.15709008e+02 1.82916962e+03 -5.55414304e+04
64223960_5316591967-63287152_2719505336,0.853,-7.88478224e-02 9.43741595e-01 -3.96576947e+02 -1.05445944e+00 -1.55171428e-01 -1.46590719e+03 3.32683946e+02 1.60956676e+03 -6.27372664e+03
64212638_4064879957-27632173_1671275972,0.841,1.54372970e-03 -1.39149272e+00 1.36609557e+03 1.24603860e+00 1.54137934e-01 6.57359612e+02 -1.33615422e+03 -8.79583558e+02 -4.15427036e+03
64212638_4064879957-63287152_2719505336,0.807,4.46524335e-03 -3.70299601e-01 6.26984234e+02 4.00196987e-01 4.91009030e-02 -3.51577177e+01 -6.92976840e+02 -5.21864094e+01 5.32851577e+03
27632173_1671275972-11122557_224876196,0.826,-3.09511998e-02 -5.68747444e-01 6.60467543e+02 6.53611280e-02 -4.32211981e-03 -2.56493618e+03 8.54135165e+01 3.05859982e+03 -3.77022700e+05
26362358_4619718880-11122557_224876196,0.885,-3.01159747e-02 -2.40197643e+00 3.40945490e+03 2.42634213e+00 -3.93576095e-01 -2.08316620e+03 -3.19584043e+03 2.50182974e+03 -4.45092038e+04
63027789_7461595968-50095073_6418366613,0.801,-4.92882416e-01 2.10262868e-01 -1.26083956e+03 -5.98770002e-01 2.45630808e-01 -1.50984833e+03 1.95486999e+03 1.59651707e+03 -4.19124431e+05
62920559_282422375-49331387_5131734970,0.824,-1.54677198e-02 -1.76167270e-01 3.53210484e+02 9.94094845e-02 -4.21707212e-02 1.12173083e+03 -3.02184603e+02 -1.01701605e+03 -1.02311946e+05
56240925_168522816-27034168_3934048864,0.834,-7.05333548e-01 -6.88367661e-01 3.00292897e+02 5.05221879e-01 -5.50632961e-01 -1.52962782e+03 1.68293535e+03 1.55629150e+03 -8.25024253e+05
56240925_168522816-26362358_4619718880,0.862,6.25336424e-01 8.36249393e-01 -2.47519817e+03 -7.68908216e-01 5.66121432e-01 6.47415989e+02 1.21117921e+03 -2.28539390e+03 1.07460712e+06
56240925_168522816-12447860_7511693888,0.843,-6.66341283e-01 -1.17412461e+00 1.19508738e+03 9.47276266e-01 -5.76172457e-01 2.01072922e+03 -1.74673305e+03 -1.07370850e+03 -1.78390872e+05
56240925_168522816-10875736_10366156803,0.888,5.51732810e-02 2.36016418e-01 -7.16379229e+02 -2.82719072e-01 2.58936792e-01 -8.36023911e+02 1.29575163e+03 7.44143204e+01 -3.93781907e+04
56240925_168522816-34169301_5802403584,0.844,7.40460783e-01 1.04369072e+00 -2.48972686e+03 -7.60439959e-01 7.16828498e-01 -3.07879096e+02 1.43394739e+03 -1.75221882e+03 1.22202423e+06
56240925_168522816-36009638_559975512,0.844,-2.95021307e+00 -3.66878284e+00 7.80869185e+03 2.19700990e+00 -4.06320909e+00 -2.96045621e+03 -5.64981963e+01 9.06044454e+03 -3.68616057e+06
56240925_168522816-40533611_1359502142,0.808,3.06020003e-01 5.41733649e-01 -1.52859169e+03 -3.97225769e-01 3.17542487e-01 -9.78520920e+01 1.16044424e+03 -1.01610241e+03 4.66261715e+05
42578175_457568876-05907640_5576489463,0.817,2.29450316e-02 -1.21385068e-01 3.34649543e+02 1.53791206e-01 9.08055600e-03 5.68289052e+00 -3.55597310e+02 -3.64261554e+01 2.88232467e+04
42578175_457568876-40864945_6371463665,0.843,4.65299171e-02 -2.70745155e-01 5.28912743e+02 2.88628991e-01 4.22440862e-02 -7.08843324e+00 -5.54991683e+02 -9.08983407e+01 3.20953718e+04
12447860_7511693888-10875736_10366156803,0.829,1.35462486e-01 1.08279736e+00 -1.26248298e+03 -2.23378239e+00 3.59253761e-01 -3.45567980e+03 2.77137671e+03 3.70421037e+03 -1.24313416e+06
79122962_6371534875-70340840_5145139104,0.802,-6.21934235e-03 -9.26620886e-02 1.74984089e+02 1.09310277e-01 -5.65314943e-03 -8.88953905e+01 -1.72443164e+02 8.78783648e+01 -4.06097721e+03
79122962_6371534875-62920559_282422375,0.803,-2.43360035e-01 -4.65477716e+00 5.24002199e+03 3.82688208e+00 -1.38590705e+00 -3.89566046e+03 -4.22060315e+03 5.91614493e+03 -3.21892868e+05
79122962_6371534875-42578175_457568876,0.841,9.30575308e-03 6.40530826e-02 -1.58600526e+02 -5.50949450e-02 7.32991498e-03 -7.22075861e+01 1.51873467e+02 5.27243159e+01 8.26695886e+03
79122962_6371534875-05907640_5576489463,0.879,1.35280307e-03 -7.78036224e-02 2.02109139e+02 8.56637060e-02 -5.03876961e-03 -4.90195633e+01 -1.99338557e+02 5.31394417e+01 5.96423972e+03
79122962_6371534875-40864945_6371463665,0.897,9.72700058e-03 -2.33940016e-01 4.00153903e+02 2.31638344e-01 1.55513235e-02 -4.16207663e+01 -4.03755030e+02 1.03510931e+01 8.37469046e+03
79122962_6371534875-39664712_6371434217,0.879,-1.41905255e-04 -2.34370047e-01 4.00038802e+02 2.24160496e-01 -5.00090628e-04 -9.37682932e+00 -4.00641659e+02 1.18631466e+01 -1.96371743e+03
40864945_6371463665-05907640_5576489463,0.85,1.21807463e-02 1.59640861e-01 -2.09883460e+02 -1.72423854e-01 1.33117386e-02 -4.79577023e+01 2.10362396e+02 3.43125630e+01 -8.63103666e+03
40864945_6371463665-39664712_6371434217,0.883,-8.37423833e-05 -1.50481561e-03 1.12875293e+00 1.55018627e-03 -2.40460109e-04 4.45279428e+00 -1.40615455e+00 -4.21713664e+00 -3.77839071e+01
91526402_8673579252-12447860_7511693888,0.874,2.56660523e-03 -1.45136247e-01 2.12036621e+02 -3.28898389e-01 -2.10597926e-01 3.13672762e+03 6.24163596e+02 -2.96139675e+03 -5.36829384e+05
91526402_8673579252-77972670_214814210,0.895,-5.45991078e-01 -8.77273238e-02 -3.22001378e+03 -2.95552674e-01 1.97422013e-01 -2.29057030e+03 1.37273567e+03 3.77548557e+03 1.48254484e+05
91526402_8673579252-27210738_2045590131,0.805,-1.15995593e-01 2.01097068e+00 -1.89997196e+03 -2.08241689e+00 -1.65006651e-01 2.04115775e+03 1.99528654e+03 -1.83691094e+03 3.28480290e+04
99765221_4300410235-69868392_3604404326,0.873,-1.08072263e-01 3.67557041e+00 -4.00133328e+03 -3.50910239e+00 -2.28497183e-01 2.55535645e+03 4.02799676e+03 -2.21261260e+03 -1.91232118e+05
99765221_4300410235-69759293_4547275305,0.859,-8.21395486e-02 2.21914348e+00 -3.48026295e+03 -2.03358509e+00 2.12613483e-01 -4.78004468e+02 3.65584516e+03 1.56120968e+02 1.64676783e+04
99765221_4300410235-64223960_5316591967,0.835,2.74187854e-01 1.58017710e+00 -2.71776510e+03 -1.88294727e+00 -2.35444627e-01 3.87855219e+03 2.74355034e+03 -3.69879149e+03 -2.21167095e+04
99765221_4300410235-64212638_4064879957,0.809,9.87102588e-02 4.12219846e+00 -4.80750671e+03 -3.81139980e+00 -6.75595545e-02 2.26147189e+03 4.36141482e+03 -2.04009368e+03 -1.47451748e+05
99765221_4300410235-27632173_1671275972,0.891,1.17956635e-01 1.15979614e+00 -1.78889003e+03 -1.50061617e+00 -2.79743469e-01 3.50959019e+03 2.14752414e+03 -3.18887016e+03 -2.49746772e+05
99765221_4300410235-62920559_282422375,0.804,-4.71876048e-02 -3.49684154e+00 4.55912392e+03 2.27469032e+00 -8.92677467e-01 -5.65641609e+03 -2.74429831e+03 6.58085634e+03 -1.30179868e+05
99765221_4300410235-56240925_168522816,0.821,-1.42815700e+00 2.04756104e+00 -1.09696170e+03 -2.10166867e+00 -1.72057473e+00 2.99332833e+03 3.31279028e+03 -7.75373601e+02 -1.32375817e+06
99765221_4300410235-11122557_224876196,0.82,3.70843435e-02 9.13196718e-01 -1.56966252e+03 -8.17166785e-01 1.29115600e-01 -1.39204344e+02 1.77421374e+03 -7.96739298e+01 -4.18487315e+04
99765221_4300410235-82762931_5145144842,0.817,-1.50331057e-02 4.68577766e+00 -5.48658764e+03 -4.61910167e+00 -5.42992076e-01 4.02891675e+03 4.39923736e+03 -3.98412089e+03 1.44400349e+06
99765221_4300410235-49809790_3475639998,0.815,-2.27451158e-01 2.07705847e+00 -3.69673784e+03 -1.98200228e+00 3.27234576e-01 -1.53696292e+03 4.12053666e+03 1.19124671e+03 -3.51598135e+04
99765221_4300410235-63287152_2719505336,0.875,-9.48204535e-02 2.81595778e+00 -2.87483060e+03 -2.85664919e+00 -2.78228913e-01 2.31573411e+03 3.11003070e+03 -2.09238586e+03 -1.85897914e+04
54933845_5249908477-27632173_1671275972,0.811,8.15146956e-02 -9.27727840e-01 4.01110122e+02 8.58808555e-01 1.83115915e-01 -5.95190342e+01 -1.01492272e+03 -1.68555284e+02 4.97456384e+04
77972670_214814210-77637372_464905579,0.856,6.49155863e-01 7.65562841e-01 -3.07857541e+02 -1.29290500e+00 1.04253331e+00 3.53118842e+03 -1.94411186e+03 -2.99891410e+03 1.19315944e+05
77972670_214814210-70340840_5145139104,0.83,8.08541768e-01 1.17850631e+00 -4.26539645e+02 -1.27648893e+00 2.25829063e+00 4.21605274e+03 -2.44882062e+03 -3.88415195e+03 1.02107378e+06
77972670_214814210-69868392_3604404326,0.888,1.02322099e+00 1.31703361e+00 -9.17128720e+02 -1.78784451e+00 1.84172073e+00 4.48351820e+03 -2.04638279e+03 -4.26508023e+03 6.99925940e+05
77972670_214814210-64602886_907577570,0.824,5.66364295e-01 7.63589006e-01 -1.36463062e+02 -1.50568593e+00 9.27335269e-01 3.86554262e+03 -2.32566275e+03 -3.24420063e+03 4.31642677e+05
77972670_214814210-64223960_5316591967,0.876,-4.70467273e-01 -3.62422372e-01 7.54953679e+02 -8.55553228e-01 1.25305949e+00 6.28754720e+03 -3.57146039e+03 -4.72819314e+03 6.49872262e+05
77972670_214814210-64212638_4064879957,0.881,1.27368557e+00 1.32673035e+00 -1.54097588e+03 -2.03329174e+00 1.95255953e+00 4.60562253e+03 -1.60875592e+03 -4.24041423e+03 5.94495827e+05
77972670_214814210-27034168_3934048864,0.822,8.45924307e-02 6.28952218e-02 -1.59850941e+02 -2.13698307e-01 2.36307926e-01 1.52053410e+03 -1.13667282e+03 -1.35810123e+03 6.98391525e+05
77972670_214814210-26362358_4619718880,0.874,1.58518612e+00 1.25011819e+00 -2.64855807e+03 -2.43861439e+00 1.85579707e+00 4.39483495e+03 -1.19063311e+03 -5.68590139e+03 1.58691914e+06
77972670_214814210-25930528_6781762,0.812,9.88316488e-01 9.89587903e-01 -1.10606367e+03 -1.95964917e+00 1.04295373e+00 3.88061112e+03 -1.73731663e+03 -3.89673017e+03 7.32961477e+05
77972670_214814210-62920559_282422375,0.802,-3.28933126e+00 -2.42879708e+00 7.85232058e+03 2.57044061e+00 -4.07917128e+00 -9.59456266e+02 -1.72219842e+03 6.92191734e+03 -2.98508036e+06
77972670_214814210-42578175_457568876,0.825,1.18027600e+00 1.14178901e+00 -1.42363456e+03 -1.82337897e+00 2.13786955e+00 4.61616891e+03 -1.83558922e+03 -4.21215791e+03 7.04905335e+05
77972670_214814210-40864945_6371463665,0.826,6.46771271e-01 1.29538016e+00 2.22422317e+02 -1.53188232e+00 1.83672332e+00 4.82308999e+03 -2.42997997e+03 -3.90158450e+03 2.17206291e+05
77972670_214814210-27210738_2045590131,0.892,5.48293874e-01 9.28908029e-01 -2.24073073e+02 -1.69241116e+00 1.55266639e+00 4.59014464e+03 -2.44516813e+03 -4.45161121e+03 7.26675815e+05
77972670_214814210-36009638_559975512,0.841,-3.24922053e+00 -1.94745317e+00 7.37772027e+03 2.35426292e+00 -3.63420380e+00 6.58693369e+01 -2.45695116e+03 6.71288322e+03 -3.20087840e+06
77972670_214814210-39664712_6371434217,0.81,7.70041651e-01 1.21309290e+00 -9.30426272e+01 -1.57659059e+00 1.83063429e+00 4.90868585e+03 -2.42307114e+03 -3.89622607e+03 2.06361904e+05
27210738_2045590131-26362358_4619718880,0.896,6.15765804e-02 8.87068012e-01 -1.71680849e+03 -7.86511002e-01 6.83535885e-02 1.69344831e+02 1.71823301e+03 -3.75265065e+02 6.13405007e+04
82762931_5145144842-54933845_5249908477,0.806,4.92638466e-02 4.16556429e-01 -4.44619736e+02 -4.12234535e-01 8.99024811e-02 1.95511023e+02 2.04437105e+02 -1.36244117e+02 -6.59603542e+03
83726689_3474844409-27632173_1671275972,0.801,-8.86279680e-02 -2.19806375e+00 3.29423223e+03 2.26211810e+00 2.65595458e-01 6.66120238e+02 -2.94652841e+03 -8.42091708e+02 -1.14638146e+05
83726689_3474844409-26362358_4619718880,0.818,7.09458652e-03 1.58836110e-01 -1.32810828e+02 -1.77457537e-01 2.87908946e-04 6.98561585e+02 1.15009689e+02 -7.12981830e+02 1.79046878e+04
83726689_3474844409-11122557_224876196,0.838,-1.52694950e-01 -2.15351671e+00 3.11786450e+03 2.23453209e+00 -3.84962103e-01 -1.33072767e+03 -2.95013746e+03 1.81739684e+03 -6.10133277e+04
83726689_3474844409-77972670_214814210,0.879,1.21828532e+00 -1.86717682e+00 -6.53528281e+02 1.10508503e+00 1.39595135e+00 -4.18514521e+03 -2.07786385e+03 3.18704206e+03 1.11178340e+06
83726689_3474844409-27210738_2045590131,0.805,-1.24336252e-02 -6.46762149e-01 1.66001068e+03 7.16752686e-01 7.61956445e-02 3.54047103e+02 -1.60678956e+03 -4.94903764e+02 4.29257049e+04
83726689_3474844409-35298921_404896411,0.801,-5.36430040e-03 -5.54008272e-01 1.58574997e+03 6.10642739e-01 -6.32467408e-02 -7.74161540e+02 -1.54528496e+03 8.73031465e+02 -7.09066719e+04
83726689_3474844409-63287152_2719505336,0.823,2.60938944e-02 -9.76110391e-01 2.22773309e+03 1.20579877e+00 7.93309179e-02 -4.42117557e+02 -2.10715566e+03 2.07834136e+02 -2.01178718e+04
97250286_522198503-64602886_907577570,0.838,-2.39374810e-01 5.52916601e-01 1.03742528e+03 -9.61864748e-01 5.09325396e-02 3.68772174e+03 -1.01077843e+02 -3.45726172e+03 -3.79544065e+05
97250286_522198503-25930528_6781762,0.819,-1.91802162e-01 9.36004200e-01 5.15008731e+01 -1.41845912e+00 -2.16438298e-01 3.91050634e+03 8.23325711e+02 -3.39159320e+03 -5.30730954e+05
97250286_522198503-77972670_214814210,0.848,5.32799858e-01 -4.32332329e-01 2.33836385e+01 4.02116592e-01 3.79749665e-01 -1.41194530e+03 -1.16138494e+03 5.92676729e+02 6.57125284e+05
97250286_522198503-36009638_559975512,0.814,-4.39531942e-01 -3.53937810e+00 8.63428218e+03 5.16478739e+00 -8.06497882e-01 -3.09404996e+03 -8.07476856e+03 3.05262753e+03 6.80324162e+05
35298921_404896411-26362358_4619718880,0.844,5.15965788e-02 7.47152053e-01 -1.67581247e+03 -7.21946759e-01 -8.98030111e-02 1.52639407e+03 1.71932770e+03 -1.48496806e+03 -4.19326066e+04
35298921_404896411-11122557_224876196,0.887,-1.09329642e-01 -1.68776969e+00 1.58008830e+03 1.69018009e+00 -1.64977870e-01 -8.20110005e+02 -1.49395907e+03 9.16669309e+02 3.18465371e+04
35298921_404896411-27210738_2045590131,0.867,7.60206870e-03 -1.29074843e-01 1.42252264e+02 5.58636349e-02 3.11626353e-02 1.33117191e+03 1.54012303e+01 -1.33486510e+03 -2.49810335e+04
97370029_2231232779-70340840_5145139104,0.837,-3.40172289e-03 2.17745684e-01 -2.58558023e+02 -2.44466182e-01 1.24567794e-02 2.54039338e+02 2.66554148e+02 -2.63468543e+02 2.40268377e+04
97370029_2231232779-42578175_457568876,0.866,2.31231008e-02 3.79620013e-01 -6.12807131e+02 -3.72029637e-01 3.92385076e-03 2.53600059e+02 5.96757154e+02 -2.77526368e+02 1.95156961e+04
97370029_2231232779-05907640_5576489463,0.828,-3.30515870e-03 2.63943379e-01 -2.68803855e+02 -2.64418998e-01 1.50372384e-02 2.85233293e+02 2.58107569e+02 -2.93402577e+02 9.40184026e+03
97370029_2231232779-79122962_6371534875,0.875,-1.54823654e-02 3.21541037e-01 -4.32452051e+02 -3.23150948e-01 -1.07701332e-02 3.43992042e+02 4.55194155e+02 -3.37307774e+02 6.78819094e+03
97370029_2231232779-40864945_6371463665,0.874,-1.00340759e-02 8.87064419e-02 -2.21122910e+01 -9.28229265e-02 -7.56108179e-03 3.32518910e+02 6.35552035e+01 -3.35307993e+02 -6.86458937e+03
97370029_2231232779-77972670_214814210,0.826,3.75510198e-01 -6.53156729e-01 -1.08156869e+03 5.09368372e-01 8.61287650e-01 -1.65063136e+03 -1.09996116e+02 2.11970884e+03 1.14280484e+05
97370029_2231232779-39664712_6371434217,0.832,-4.66887875e-03 9.12328341e-02 -4.23235738e+01 -9.11800980e-02 -1.16015096e-02 3.38715674e+02 6.22609498e+01 -3.38062661e+02 -6.47210807e+03
97370029_2231232779-49809790_3475639998,0.806,-1.23122130e-01 -5.39325964e-01 -3.05618711e+02 3.73375241e-01 1.09000329e-01 -1.54112548e+03 7.00087509e+02 1.84372925e+03 -2.39331349e+05
39664712_6371434217-05907640_5576489463,0.832,4.53517995e-03 1.58134900e-01 -2.09824558e+02 -1.73534617e-01 -4.32191225e-04 -4.76450128e+01 2.08432015e+02 5.41565712e+01 -1.43711278e+04
49809790_3475639998-42578175_457568876,0.823,-1.23631459e-01 1.00620812e+00 1.93171638e+02 -1.48384902e+00 1.31561114e-01 3.61063509e+03 2.87607467e+02 -2.94604761e+03 -3.83905805e+05
63287152_2719505336-27632173_1671275972,0.854,-5.16184381e-02 -1.25898568e+00 9.46441241e+02 1.15341963e+00 -7.32039302e-02 9.87130469e+02 -9.46387974e+02 -8.68109944e+02 -8.15193748e+04
63287152_2719505336-26362358_4619718880,0.802,1.12943470e-01 1.20367944e+00 -1.96718994e+03 -9.91474650e-01 3.25718054e-02 7.70191250e+02 2.00178582e+03 -1.06440288e+03 -5.05716732e+02
63287152_2719505336-56240925_168522816,0.825,-5.65070270e-02 8.85408225e-02 -1.98083522e+01 -8.42839809e-02 -3.48878367e-02 -1.49327378e+02 -4.73319623e+01 1.67583255e+02 5.04323670e+04
63287152_2719505336-11122557_224876196,0.822,-2.20380165e-01 -1.35159328e+00 1.10382791e+03 1.20833495e+00 -2.00357557e-01 -1.32344074e+03 -7.88688499e+02 1.63063296e+03 -6.80495458e+04
63287152_2719505336-27210738_2045590131,0.803,8.05120197e-03 2.94716211e-01 -3.87878656e+02 -2.82001439e-01 -3.28395846e-02 6.48753988e+02 3.97559658e+02 -6.59609968e+02 -2.70904887e+04
98653115_457567968-69868392_3604404326,0.756,-1.89757700e-02 -3.02149941e-01 5.33522003e+02 2.08005233e-01 -1.16424080e-02 2.59881474e+02 -4.78553528e+02 -2.48207817e+02 -9.25331334e+04
98653115_457567968-69759293_4547275305,0.71,4.51566600e-02 -1.06342970e+00 5.91485132e+02 1.06700422e+00 1.77568484e-01 -1.22824250e+03 -8.34359556e+02 1.28214925e+03 1.06648675e+05
