image_id,camera_intrinsics,rotation_matrix,translation_vector
81893234_7163443084,1.08614172e+03 0.00000000e+00 3.90500000e+02 0.00000000e+00 1.08614172e+03 5.29000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.99114784e-01 2.93871737e-02 -3.01005296e-02 -2.86717486e-02 9.99302400e-01 2.39299895e-02 3.07827662e-02 -2.30457715e-02 9.99260383e-01,-3.79055924e-01 -6.55539583e-01 -2.65610672e+00
20050853_9360512514,2.58397583e+03 0.00000000e+00 4.53500000e+02 0.00000000e+00 2.58397583e+03 3.77000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,8.90197625e-01 -1.67501728e-02 -4.55266537e-01 6.58847746e-02 9.93551757e-01 9.22718952e-02 4.50785298e-01 -1.12135355e-01 8.85560996e-01,2.87540767e+00 -2.28735937e-01 3.29922273e-01
65593803_7168341735,8.26868530e+02 0.00000000e+00 5.21000000e+02 0.00000000e+00 8.26868530e+02 3.87500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.94279134e-01 1.43222437e-02 -1.05848365e-01 -7.47253261e-03 9.97868478e-01 6.48279479e-02 1.06551229e-01 -6.36661205e-02 9.92266829e-01,-8.34670795e-03 -9.31403644e-01 -3.13038532e+00
03890690_2728701915,3.02138623e+03 0.00000000e+00 5.11500000e+02 0.00000000e+00 3.02138623e+03 3.83500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.74118491e-01 -2.87659141e-02 -2.24200107e-01 1.03072327e-02 9.96490340e-01 -8.30708325e-02 2.25802850e-01 7.86099513e-02 9.70996163e-01,1.01253292e+00 1.18511583e+00 8.29060648e+00
73131946_5967189750,8.42626709e+02 0.00000000e+00 5.36500000e+02 0.00000000e+00 8.42626709e+02 3.18500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.95264403e-01 6.28268134e-03 -9.70015251e-02 -4.36674312e-03 9.99791417e-01 1.99513038e-02 9.71066399e-02 -1.94332418e-02 9.95084242e-01,-4.35362901e-02 -5.90825205e-01 -2.46259768e+00
48471030_6975499708,8.41231995e+02 0.00000000e+00 5.08500000e+02 0.00000000e+00 8.41231995e+02 3.39000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.82449675e-01 1.63309902e-02 -1.85811558e-01 2.54451586e-02 9.75113753e-01 2.20240127e-01 1.84784145e-01 -2.21102845e-01 9.57584645e-01,8.76868187e-01 -7.71575859e-01 -1.57517027e+00
21828843_3472565197,1.21197766e+03 0.00000000e+00 3.75000000e+02 0.00000000e+00 1.21197766e+03 5.20000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.95698002e-01 -1.55375473e-03 -9.26448808e-02 -7.58178121e-04 9.99689302e-01 -2.49143655e-02 9.26548070e-02 2.48774253e-02 9.95387462e-01,-5.75416191e-02 4.99357349e-01 2.33076839e+00
10605892_4176363979,1.05855457e+03 0.00000000e+00 5.24500000e+02 0.00000000e+00 1.05855457e+03 3.88500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.99859189e-01 1.65156434e-02 2.97260575e-03 -1.67669965e-02 9.90466336e-01 1.36730779e-01 -6.86069134e-04 -1.36761367e-01 9.90603784e-01,-6.43325440e-01 -8.77275213e-01 -2.38945769e+00
18933011_9395787270,6.97745850e+02 0.00000000e+00 1.02000000e+02 0.00000000e+00 6.97745850e+02 7.65000000e+01 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.99229445e-01 1.64997554e-02 -3.56128363e-02 -1.44196164e-02 9.98218454e-01 5.78963983e-02 3.65046668e-02 -5.73382625e-02 9.97687192e-01,-5.83307174e-01 -8.73770581e-01 -3.11002860e+00
06809631_5499605152,8.66518433e+02 0.00000000e+00 5.22000000e+02 0.00000000e+00 8.66518433e+02 3.44000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.99677338e-01 2.49322522e-02 -4.85826966e-03 -2.53428790e-02 9.66019152e-01 -2.57225071e-01 -1.72001881e-03 2.57265197e-01 9.66339309e-01,-2.41803452e-01 6.15633113e-02 2.78459837e+00
56536630_1876888524,1.31770715e+03 0.00000000e+00 5.18500000e+02 0.00000000e+00 1.31770715e+03 3.86000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.14241233e-01 -3.45573908e-02 -4.03693887e-01 3.99824195e-02 9.99187801e-01 5.01432721e-03 4.03192725e-01 -2.07249630e-02 9.14880376e-01,2.06939966e+00 7.68979143e-01 3.51961065e+00
52603102_9946709976,1.02530176e+03 0.00000000e+00 3.84000000e+02 0.00000000e+00 1.02530176e+03 5.13000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.07561121e-01 7.89327491e-02 -4.12434763e-01 -6.43428110e-02 9.96715875e-01 4.91677527e-02 4.14961221e-01 -1.80855288e-02 9.09659331e-01,-4.70972687e-02 5.12672095e-01 2.28305045e+00
95335044_286554784,3.39351831e+03 0.00000000e+00 5.10500000e+02 0.00000000e+00 3.39351831e+03 3.82500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.98512354e-01 5.98695085e-03 -5.41962734e-02 1.01158707e-02 9.56358175e-01 2.92021762e-01 5.35793691e-02 -2.92135580e-01 9.54874889e-01,-3.57251984e-01 -1.36500433e+00 -2.35345501e+00
80054423_4889966849,1.01605371e+03 0.00000000e+00 3.91500000e+02 0.00000000e+00 1.01605371e+03 5.32000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.25952558e-01 -8.00638733e-02 -3.69055059e-01 -4.50518023e-02 9.46868312e-01 -3.18450522e-01 3.74942923e-01 3.11496671e-01 8.73148114e-01,2.11439503e+00 -1.12447669e-01 7.86360685e-01
85572957_6053497857,7.94375183e+02 0.00000000e+00 5.32500000e+02 0.00000000e+00 7.94375183e+02 3.45500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.97026461e-01 1.08220638e-02 -7.62962627e-02 -1.70214187e-03 9.92940885e-01 1.18598065e-01 7.70411545e-02 -1.18115542e-01 9.90006757e-01,-2.58807024e-01 -3.69036590e-01 -1.18035141e+00
65707480_4135176195,1.65698169e+03 0.00000000e+00 4.96500000e+02 0.00000000e+00 1.65698169e+03 3.30000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.23466730e-01 -6.16807834e-02 -3.78688103e-01 8.81488865e-02 9.94699380e-01 5.29425847e-02 3.73415281e-01 -8.22716502e-02 9.24008876e-01,1.00617701e+00 8.72858308e-02 4.12405100e-01
72124445_1515477052,8.40569214e+02 0.00000000e+00 2.50500000e+02 0.00000000e+00 8.40569214e+02 1.87500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.79426085e-01 7.34457809e-02 1.87963456e-01 -6.45075372e-02 9.96495754e-01 -5.32446272e-02 -1.91215379e-01 4.00241171e-02 9.80731741e-01,-2.24093930e+00 2.16961823e-01 7.28042292e-01
92884278_346751510,3.10146875e+03 0.00000000e+00 5.10000000e+02 0.00000000e+00 3.10146875e+03 3.82000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.96683227e-01 5.62189859e-03 -8.11846056e-02 5.06048198e-03 9.91398633e-01 1.30778982e-01 8.12215332e-02 -1.30756051e-01 9.88081939e-01,-1.66935609e-01 -1.35596701e-01 -3.81133613e-01
90218958_5187842715,1.98379529e+03 0.00000000e+00 5.14500000e+02 0.00000000e+00 1.98379529e+03 4.50500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.97831131e-01 2.55500071e-02 -6.06649065e-02 -3.54256553e-02 9.85191043e-01 -1.67760641e-01 5.54802369e-02 1.69545884e-01 9.83959418e-01,-1.76539444e-01 1.29515919e-01 1.82321810e+00
79189472_8059647260,8.36996887e+02 0.00000000e+00 2.48000000e+02 0.00000000e+00 8.36996887e+02 2.48000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.91024854e-01 2.80302954e-02 1.30705934e-01 -4.34093323e-02 9.92260322e-01 1.16340373e-01 -1.26433257e-01 -1.20970059e-01 9.84571418e-01,-1.78769603e+00 8.64023119e-01 2.88290299e+00
43929418_4177129462,1.05497437e+03 0.00000000e+00 5.25000000e+02 0.00000000e+00 1.05497437e+03 3.89000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.97350398e-01 1.34972332e-02 7.14843156e-02 -2.16298862e-02 9.93216835e-01 1.14247390e-01 -6.94574020e-02 -1.15490877e-01 9.90877150e-01,-1.26189526e+00 -8.29898885e-01 -2.36647585e+00
31638320_5722213561,8.52453430e+02 0.00000000e+00 5.26000000e+02 0.00000000e+00 8.52453430e+02 3.89500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.84867887e-01 -7.36435047e-03 -1.73150258e-01 4.02613808e-02 9.81484926e-01 1.87260142e-01 1.68565319e-01 -1.91397769e-01 9.66929484e-01,4.93242706e-01 -1.44174081e+00 -3.32263575e+00
10502455_6696542067,2.32097266e+03 0.00000000e+00 5.08500000e+02 0.00000000e+00 2.32097266e+03 3.39000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.96735475e-01 8.80463984e-04 -8.07317668e-02 2.07919346e-02 9.63414074e-01 2.67209688e-01 7.80133889e-02 -2.68015945e-01 9.60250678e-01,-2.23114030e-01 -1.20577881e+00 -2.20862079e+00
77495133_2091260914,1.44239880e+03 0.00000000e+00 2.45000000e+02 0.00000000e+00 1.44239880e+03 1.83500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.53333919e-01 -1.99015822e-02 -3.01261290e-01 1.71155930e-02 9.99782882e-01 -1.18846527e-02 3.01432404e-01 6.17377689e-03 9.53467561e-01,1.61981369e+00 6.61572066e-01 3.48562729e+00
20503102_9784502166,6.82916870e+02 0.00000000e+00 2.53500000e+02 0.00000000e+00 6.82916870e+02 2.53500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.71960258e-01 -9.32237891e-03 -2.34960318e-01 5.60120747e-02 9.79630836e-01 1.92836906e-01 2.28376674e-01 -2.00590424e-01 9.52684406e-01,1.02834793e+00 -5.64645706e-01 -8.50681230e-01
03774918_7196896770,8.16733765e+02 0.00000000e+00 3.45500000e+02 0.00000000e+00 8.16733765e+02 5.28000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.77386326e-01 -2.18389169e-02 -2.10330768e-01 -3.11335887e-02 9.68951665e-01 -2.45282225e-01 2.09157046e-01 2.46283845e-01 9.46360184e-01,9.80660892e-02 1.57706355e-02 -1.77688650e+00
88502517_1468684837,1.15577930e+03 0.00000000e+00 3.39000000e+02 0.00000000e+00 1.15577930e+03 5.08500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.36231458e-01 -1.91205774e-02 -3.50863309e-01 -4.42483304e-02 9.84154544e-01 -1.71702998e-01 3.48586780e-01 1.76278864e-01 9.20550389e-01,1.85972231e+00 2.90429038e-03 2.03107635e+00
45314193_9211289586,1.23356055e+03 0.00000000e+00 5.17500000e+02 0.00000000e+00 1.23356055e+03 3.86000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.74410900e-01 8.76882592e-02 2.06964169e-01 -5.44977958e-02 9.85457632e-01 -1.60944854e-01 -2.18067394e-01 1.45547329e-01 9.65019475e-01,-1.09023332e+00 4.86445559e-02 3.08680004e-01
44083517_6916346024,1.11120898e+03 0.00000000e+00 5.17500000e+02 0.00000000e+00 1.11120898e+03 5.17500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.54361601e-01 1.09754368e-01 2.77755132e-01 -3.36604280e-02 9.63627986e-01 -2.65118991e-01 -2.96750586e-01 2.43670028e-01 9.23343927e-01,-8.22266177e-01 -1.23046106e-01 2.21441454e+00
22719243_7325318698,1.31416199e+03 0.00000000e+00 5.17500000e+02 0.00000000e+00 1.31416199e+03 3.42500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,8.75835696e-01 -7.16758370e-02 -4.77257172e-01 4.49553652e-02 9.96726789e-01 -6.71916845e-02 4.80511029e-01 3.73936053e-02 8.76191115e-01,1.89900707e+00 2.33861769e-01 1.85903248e+00
24072578_3313430186,9.45994141e+02 0.00000000e+00 3.43000000e+02 0.00000000e+00 9.45994141e+02 5.13000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.94015630e-01 6.69574638e-03 -1.09032535e-01 7.30958575e-03 9.91805653e-01 1.27546531e-01 1.08993104e-01 -1.27580228e-01 9.85821378e-01,6.79795392e-02 -1.36692544e+00 -3.81139414e+00
71126779_72499173,1.28936267e+03 0.00000000e+00 4.18500000e+02 0.00000000e+00 1.28936267e+03 5.22500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.98371912e-01 5.52856936e-03 -5.67711304e-02 -1.32582839e-02 9.90523998e-01 -1.36698310e-01 5.54774209e-02 1.37228441e-01 9.88984636e-01,-3.57889879e-01 -2.86406426e-02 -8.08661148e-01
74077013_184987611,8.41601990e+02 0.00000000e+00 5.28000000e+02 0.00000000e+00 8.41601990e+02 3.45500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,6.52826732e-01 -2.29219628e-01 -7.21994197e-01 1.12010941e-01 9.71851343e-01 -2.07264362e-01 7.49180090e-01 5.44364670e-02 6.60125643e-01,3.55170756e+00 3.15680354e-01 4.15150530e-01
02936509_94852264,6.90796692e+02 0.00000000e+00 5.22500000e+02 0.00000000e+00 6.90796692e+02 3.88500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.96890937e-01 9.36650299e-03 -7.82350841e-02 2.48699491e-03 9.88674294e-01 1.50056507e-01 7.87545213e-02 -1.49784542e-01 9.85577149e-01,-1.46494667e-01 -1.53388120e+00 -3.98113359e+00
54233019_1901167706,1.14881555e+03 0.00000000e+00 5.28000000e+02 0.00000000e+00 1.14881555e+03 3.90000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.93469054e-01 4.45290576e-02 1.05054281e-01 -4.39140243e-02 9.99001977e-01 -8.16142278e-03 -1.05312855e-01 3.49476471e-03 9.94432999e-01,-1.73492794e+00 -3.15393025e-01 -1.32989198e+00
87478389_4866650624,1.28936670e+03 0.00000000e+00 5.12000000e+02 0.00000000e+00 1.28936670e+03 3.83500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.79355952e-01 6.64580556e-02 1.90906379e-01 -5.67944766e-02 9.96833237e-01 -5.56586430e-02 -1.94000789e-01 4.36671955e-02 9.80029015e-01,-2.34074164e+00 2.65047774e-02 3.50544039e-01
72043215_5083481624,8.46426819e+02 0.00000000e+00 5.18000000e+02 0.00000000e+00 8.46426819e+02 3.86000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.98638025e-01 1.29155115e-02 -5.05498278e-02 -6.03158898e-03 9.90958469e-01 1.34033324e-01 5.18238889e-02 -1.33545878e-01 9.89686710e-01,-3.29697268e-01 -8.08171217e-01 -2.23832272e+00
93385231_5436268017,1.49877051e+03 0.00000000e+00 5.16000000e+02 0.00000000e+00 1.49877051e+03 5.16000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.84572720e-01 2.08546985e-02 -1.73728639e-01 -2.49184719e-02 9.99463757e-01 -2.12430857e-02 1.73192460e-01 2.52444148e-02 9.84564417e-01,5.95875502e-01 -1.17540121e-01 -5.32866491e-01
69093391_313705814,1.51581067e+03 0.00000000e+00 5.16500000e+02 0.00000000e+00 1.51581067e+03 3.85500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.60857161e-01 7.04380889e-02 2.67940278e-01 -9.39832843e-02 9.92663047e-01 7.60737570e-02 -2.60615923e-01 -9.82779215e-02 9.60427400e-01,-3.20327945e+00 2.99677489e-01 1.26553934e+00
28221825_5139496129,9.00885254e+02 0.00000000e+00 3.46500000e+02 0.00000000e+00 9.00885254e+02 5.25500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.55518586e-01 1.05081223e-01 2.75576067e-01 -1.04389333e-01 9.94387414e-01 -1.72202811e-02 -2.75838901e-01 -1.23129031e-02 9.61125014e-01,-2.61567335e+00 -5.17611273e-01 -2.26504894e+00
60553649_2254779884,1.06012781e+03 0.00000000e+00 5.26000000e+02 0.00000000e+00 1.06012781e+03 3.89500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.95942808e-01 1.39091645e-02 8.89070263e-02 -1.34130125e-02 9.99890971e-01 -6.17560502e-03 -8.89832303e-02 4.95803835e-03 9.96020784e-01,-1.11258636e+00 3.79962049e-03 5.04697293e-02
19010027_6596583131,7.91659363e+02 0.00000000e+00 5.46000000e+02 0.00000000e+00 7.91659363e+02 3.48000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.96985669e-01 4.70875710e-03 -7.74429054e-02 -2.05564734e-03 9.99409364e-01 3.43030132e-02 7.75586894e-02 -3.40404172e-02 9.96406493e-01,9.79813959e-02 -5.85508486e-01 -2.37446485e+00
11025595_6187208518,1.09324402e+03 0.00000000e+00 5.31500000e+02 0.00000000e+00 1.09324402e+03 5.06500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.75907091e-01 -1.00649998e-02 -2.17954227e-01 -2.31441634e-02 9.88524176e-01 -1.49279274e-01 2.16955518e-01 1.50727070e-01 9.64474807e-01,8.70494341e-03 5.08957633e-01 5.93399652e+00
61859829_10835436503,5.59011719e+02 0.00000000e+00 2.45000000e+02 0.00000000e+00 5.59011719e+02 2.45000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.27027280e-01 -8.38270623e-02 -3.65504371e-01 7.61133890e-02 9.96467367e-01 -3.54899832e-02 3.67188199e-01 5.08040626e-03 9.30132795e-01,2.23471101e+00 -9.70781232e-02 -1.45122768e+00
60770994_853214983,9.27347595e+02 0.00000000e+00 5.31000000e+02 0.00000000e+00 9.27347595e+02 3.41500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.94168339e-01 9.94799151e-03 -1.07379474e-01 2.17964607e-03 9.93678975e-01 1.12237886e-01 1.07817267e-01 -1.11817402e-01 9.87862493e-01,7.48079461e-02 -1.12223959e+00 -3.00233515e+00
84930472_2757260060,4.01005151e+03 0.00000000e+00 5.09000000e+02 0.00000000e+00 4.01005151e+03 3.81500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.92063270e-01 -1.01460016e-04 -1.25739644e-01 -2.20039923e-03 9.99832536e-01 -1.81675262e-02 1.25720431e-01 1.83000129e-02 9.91896911e-01,1.88686582e-01 1.26250522e+00 5.67896513e+00
45568703_5366183851,8.96282532e+02 0.00000000e+00 5.16500000e+02 0.00000000e+00 8.96282532e+02 3.85500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,8.89989356e-01 3.25616667e-02 4.54817199e-01 -5.37817553e-02 9.97980766e-01 3.37921976e-02 -4.52798487e-01 -5.45355635e-02 8.89943483e-01,-3.65972462e+00 -4.17916077e-01 -8.96935684e-02
82903083_4663101968,8.89759766e+02 0.00000000e+00 3.86500000e+02 0.00000000e+00 8.89759766e+02 2.89500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.86634245e-01 -3.57848832e-03 -1.62911209e-01 -9.10320869e-04 9.99622194e-01 -2.74707316e-02 1.62947964e-01 2.72518660e-02 9.86258230e-01,5.48802636e-01 8.65458914e-02 7.46245018e-01
96812926_1435378218,8.45397400e+02 0.00000000e+00 5.38500000e+02 0.00000000e+00 8.45397400e+02 3.94000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.98538945e-01 -2.07735211e-03 -5.39968490e-02 -6.90442649e-03 9.86165495e-01 -1.65619881e-01 5.35938801e-02 1.65750719e-01 9.84710310e-01,-1.79308831e-01 4.95437622e-03 -3.96086854e-02
68260381_9485873768,9.27339294e+02 0.00000000e+00 4.94000000e+02 0.00000000e+00 9.27339294e+02 3.70500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.96308646e-01 2.10761716e-02 -8.32158455e-02 -2.33373991e-02 9.99381794e-01 -2.62943957e-02 8.26102158e-02 2.81393752e-02 9.96184585e-01,8.96005339e-01 6.06882405e-02 2.46834533e-01
73039718_4294835156,1.47451770e+03 0.00000000e+00 4.96500000e+02 0.00000000e+00 1.47451770e+03 3.72000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.95929442e-01 6.93306850e-02 5.76003744e-02 -6.76513476e-02 9.97239263e-01 -3.06128622e-02 -5.95637656e-02 2.65915078e-02 9.97870257e-01,-1.28888239e+00 1.43996049e-01 6.45929638e-01
90135423_286554388,1.17934790e+03 0.00000000e+00 5.30500000e+02 0.00000000e+00 1.17934790e+03 3.91000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.97524689e-01 -2.37117140e-03 -7.02771147e-02 9.17498147e-03 9.95276118e-01 9.66502438e-02 6.97159596e-02 -9.70557956e-02 9.92834255e-01,-2.97571852e-01 -8.57610976e-01 -2.62619113e+00
04803880_11119539065,5.06673492e+02 0.00000000e+00 2.55500000e+02 0.00000000e+00 5.06673492e+02 2.55500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,8.84219885e-01 -1.25686834e-01 -4.49842210e-01 6.35964755e-02 9.86541711e-01 -1.50635122e-01 4.62720956e-01 1.04586191e-01 8.80313039e-01,3.60936086e+00 1.99383389e-01 -8.40239064e-01
21760980_3175031030,1.75155969e+03 0.00000000e+00 5.17000000e+02 0.00000000e+00 1.75155969e+03 3.85500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.87983878e-01 -5.48120464e-03 -1.54459748e-01 -1.24214046e-02 9.93322352e-01 -1.14701408e-01 1.54057023e-01 1.15241749e-01 9.81318385e-01,2.09349720e-01 4.88879566e-01 4.25394548e+00
36601825_3537383858,9.24121460e+02 0.00000000e+00 5.16000000e+02 0.00000000e+00 9.24121460e+02 3.42000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.98491514e-01 8.71527401e-03 -5.42101527e-02 -7.46797565e-03 9.99703675e-01 2.31687439e-02 5.43960108e-02 -2.27289541e-02 9.98260722e-01,-2.37040986e-01 -3.74118357e-01 -1.16376182e+00
91333167_11075684623,8.53588257e+02 0.00000000e+00 5.11000000e+02 0.00000000e+00 8.53588257e+02 3.83000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.94325264e-01 3.84790807e-03 -1.06313042e-01 -5.85330808e-03 9.99810660e-01 -1.85575783e-02 1.06221505e-01 1.90745519e-02 9.94159521e-01,-6.14128732e-02 -5.51943656e-01 -2.30014903e+00
